"Leveringssektor";"måned";"statistikkvariabel";"11117: Konsumprisindeks for varer og tjenester, etter Leveringssektor, måned og statistikkvariabel"
"B1112 Norske varer uten jordbruks og energivarer";"2015M04";"Månedsendring (prosent)";0,3
"B1112 Norske varer uten jordbruks og energivarer";"2015M04";"12-måneders endring (prosent)";..
"B1112 Norske varer uten jordbruks og energivarer";"2015M04";"Konsumprisindeksen. Vekter";97,4
"B1112 Norske varer uten jordbruks og energivarer";"2015M05";"Konsumprisindeksen (2015=100)";99,1
"B1112 Norske varer uten jordbruks og energivarer";"2015M05";"Månedsendring (prosent)";0,4
"B1112 Norske varer uten jordbruks og energivarer";"2015M05";"12-måneders endring (prosent)";..
"B1112 Norske varer uten jordbruks og energivarer";"2015M05";"Konsumprisindeksen. Vekter";97,4
"B1112 Norske varer uten jordbruks og energivarer";"2015M06";"Konsumprisindeksen (2015=100)";99,9
"B1112 Norske varer uten jordbruks og energivarer";"2015M06";"Månedsendring (prosent)";0,8
"B1112 Norske varer uten jordbruks og energivarer";"2015M06";"12-måneders endring (prosent)";..
"B1112 Norske varer uten jordbruks og energivarer";"2015M06";"Konsumprisindeksen. Vekter";97,4
"B1112 Norske varer uten jordbruks og energivarer";"2015M07";"Konsumprisindeksen (2015=100)";101,7
"B1112 Norske varer uten jordbruks og energivarer";"2015M07";"Månedsendring (prosent)";1,8
"B1112 Norske varer uten jordbruks og energivarer";"2015M07";"12-måneders endring (prosent)";..
"B1112 Norske varer uten jordbruks og energivarer";"2015M07";"Konsumprisindeksen. Vekter";97,4
"B1112 Norske varer uten jordbruks og energivarer";"2015M08";"Konsumprisindeksen (2015=100)";101,3
"B1112 Norske varer uten jordbruks og energivarer";"2015M08";"Månedsendring (prosent)";-0,4
"B1112 Norske varer uten jordbruks og energivarer";"2015M08";"12-måneders endring (prosent)";..
"B1112 Norske varer uten jordbruks og energivarer";"2015M08";"Konsumprisindeksen. Vekter";97,4
"B1112 Norske varer uten jordbruks og energivarer";"2015M09";"Konsumprisindeksen (2015=100)";101,3
"B1112 Norske varer uten jordbruks og energivarer";"2015M09";"Månedsendring (prosent)";0
"B1112 Norske varer uten jordbruks og energivarer";"2015M09";"12-måneders endring (prosent)";..
"B1112 Norske varer uten jordbruks og energivarer";"2015M09";"Konsumprisindeksen. Vekter";97,4
"B1112 Norske varer uten jordbruks og energivarer";"2015M10";"Konsumprisindeksen (2015=100)";100,7
"B1112 Norske varer uten jordbruks og energivarer";"2015M10";"Månedsendring (prosent)";-0,6
"B1112 Norske varer uten jordbruks og energivarer";"2015M10";"12-måneders endring (prosent)";..
"B1112 Norske varer uten jordbruks og energivarer";"2015M10";"Konsumprisindeksen. Vekter";97,4
"B1112 Norske varer uten jordbruks og energivarer";"2015M11";"Konsumprisindeksen (2015=100)";101,3
"B1112 Norske varer uten jordbruks og energivarer";"2015M11";"Månedsendring (prosent)";0,6
"B1112 Norske varer uten jordbruks og energivarer";"2015M11";"12-måneders endring (prosent)";..
"B1112 Norske varer uten jordbruks og energivarer";"2015M11";"Konsumprisindeksen. Vekter";97,4
"B1112 Norske varer uten jordbruks og energivarer";"2015M12";"Konsumprisindeksen (2015=100)";100,1
"B1112 Norske varer uten jordbruks og energivarer";"2015M12";"Månedsendring (prosent)";-1,2
"B1112 Norske varer uten jordbruks og energivarer";"2015M12";"12-måneders endring (prosent)";..
"B1112 Norske varer uten jordbruks og energivarer";"2015M12";"Konsumprisindeksen. Vekter";97,4
"B1112 Norske varer uten jordbruks og energivarer";"2016M01";"Konsumprisindeksen (2015=100)";101,4
"B1112 Norske varer uten jordbruks og energivarer";"2016M01";"Månedsendring (prosent)";1,3
"B1112 Norske varer uten jordbruks og energivarer";"2016M01";"12-måneders endring (prosent)";3,6
"B1112 Norske varer uten jordbruks og energivarer";"2016M01";"Konsumprisindeksen. Vekter";105,6
"B1112 Norske varer uten jordbruks og energivarer";"2016M02";"Konsumprisindeksen (2015=100)";104,4
"B1112 Norske varer uten jordbruks og energivarer";"2016M02";"Månedsendring (prosent)";3
"B1112 Norske varer uten jordbruks og energivarer";"2016M02";"12-måneders endring (prosent)";5
"B1112 Norske varer uten jordbruks og energivarer";"2016M02";"Konsumprisindeksen. Vekter";105,6
"B1112 Norske varer uten jordbruks og energivarer";"2016M03";"Konsumprisindeksen (2015=100)";101
"B1112 Norske varer uten jordbruks og energivarer";"2016M03";"Månedsendring (prosent)";-3,3
"B1112 Norske varer uten jordbruks og energivarer";"2016M03";"12-måneders endring (prosent)";2,6
"B1112 Norske varer uten jordbruks og energivarer";"2016M03";"Konsumprisindeksen. Vekter";105,6
"B1112 Norske varer uten jordbruks og energivarer";"2016M04";"Konsumprisindeksen (2015=100)";103,6
"B1112 Norske varer uten jordbruks og energivarer";"2016M04";"Månedsendring (prosent)";2,6
"B1112 Norske varer uten jordbruks og energivarer";"2016M04";"12-måneders endring (prosent)";5
"B1112 Norske varer uten jordbruks og energivarer";"2016M04";"Konsumprisindeksen. Vekter";105,6
"B1112 Norske varer uten jordbruks og energivarer";"2016M05";"Konsumprisindeksen (2015=100)";103,2
"B1112 Norske varer uten jordbruks og energivarer";"2016M05";"Månedsendring (prosent)";-0,4
"B1112 Norske varer uten jordbruks og energivarer";"2016M05";"12-måneders endring (prosent)";4,1
"B1112 Norske varer uten jordbruks og energivarer";"2016M05";"Konsumprisindeksen. Vekter";105,6
"B1112 Norske varer uten jordbruks og energivarer";"2016M06";"Konsumprisindeksen (2015=100)";103,9
"B1112 Norske varer uten jordbruks og energivarer";"2016M06";"Månedsendring (prosent)";0,7
"B1112 Norske varer uten jordbruks og energivarer";"2016M06";"12-måneders endring (prosent)";4
"B1112 Norske varer uten jordbruks og energivarer";"2016M06";"Konsumprisindeksen. Vekter";105,6
"B1112 Norske varer uten jordbruks og energivarer";"2016M07";"Konsumprisindeksen (2015=100)";106,5
"B1112 Norske varer uten jordbruks og energivarer";"2016M07";"Månedsendring (prosent)";2,5
"B1112 Norske varer uten jordbruks og energivarer";"2016M07";"12-måneders endring (prosent)";4,7
"B1112 Norske varer uten jordbruks og energivarer";"2016M07";"Konsumprisindeksen. Vekter";105,6
"B1112 Norske varer uten jordbruks og energivarer";"2016M08";"Konsumprisindeksen (2015=100)";106
"B1112 Norske varer uten jordbruks og energivarer";"2016M08";"Månedsendring (prosent)";-0,5
"B1112 Norske varer uten jordbruks og energivarer";"2016M08";"12-måneders endring (prosent)";4,6
"B1112 Norske varer uten jordbruks og energivarer";"2016M08";"Konsumprisindeksen. Vekter";105,6
"B1112 Norske varer uten jordbruks og energivarer";"2016M09";"Konsumprisindeksen (2015=100)";104,8
"B1112 Norske varer uten jordbruks og energivarer";"2016M09";"Månedsendring (prosent)";-1,1
"B1112 Norske varer uten jordbruks og energivarer";"2016M09";"12-måneders endring (prosent)";3,5
"B1112 Norske varer uten jordbruks og energivarer";"2016M09";"Konsumprisindeksen. Vekter";105,6
"B1112 Norske varer uten jordbruks og energivarer";"2016M10";"Konsumprisindeksen (2015=100)";105,2
"B1112 Norske varer uten jordbruks og energivarer";"2016M10";"Månedsendring (prosent)";0,4
"B1112 Norske varer uten jordbruks og energivarer";"2016M10";"12-måneders endring (prosent)";4,5
"B1112 Norske varer uten jordbruks og energivarer";"2016M10";"Konsumprisindeksen. Vekter";105,6
"B1112 Norske varer uten jordbruks og energivarer";"2016M11";"Konsumprisindeksen (2015=100)";105,2
"B1112 Norske varer uten jordbruks og energivarer";"2016M11";"Månedsendring (prosent)";0
"B1112 Norske varer uten jordbruks og energivarer";"2016M11";"12-måneders endring (prosent)";3,8
"B1112 Norske varer uten jordbruks og energivarer";"2016M11";"Konsumprisindeksen. Vekter";105,6
"B1112 Norske varer uten jordbruks og energivarer";"2016M12";"Konsumprisindeksen (2015=100)";102,9
"B1112 Norske varer uten jordbruks og energivarer";"2016M12";"Månedsendring (prosent)";-2,2
"B1112 Norske varer uten jordbruks og energivarer";"2016M12";"12-måneders endring (prosent)";2,8
"B1112 Norske varer uten jordbruks og energivarer";"2016M12";"Konsumprisindeksen. Vekter";105,6
"B1112 Norske varer uten jordbruks og energivarer";"2017M01";"Konsumprisindeksen (2015=100)";103,6
"B1112 Norske varer uten jordbruks og energivarer";"2017M01";"Månedsendring (prosent)";0,7
"B1112 Norske varer uten jordbruks og energivarer";"2017M01";"12-måneders endring (prosent)";2,2
"B1112 Norske varer uten jordbruks og energivarer";"2017M01";"Konsumprisindeksen. Vekter";105,1
"B1112 Norske varer uten jordbruks og energivarer";"2017M02";"Konsumprisindeksen (2015=100)";104,7
"B1112 Norske varer uten jordbruks og energivarer";"2017M02";"Månedsendring (prosent)";1,1
"B1112 Norske varer uten jordbruks og energivarer";"2017M02";"12-måneders endring (prosent)";0,3
"B1112 Norske varer uten jordbruks og energivarer";"2017M02";"Konsumprisindeksen. Vekter";105,1
"B1112 Norske varer uten jordbruks og energivarer";"2017M03";"Konsumprisindeksen (2015=100)";104,4
"B1112 Norske varer uten jordbruks og energivarer";"2017M03";"Månedsendring (prosent)";-0,3
"B1112 Norske varer uten jordbruks og energivarer";"2017M03";"12-måneders endring (prosent)";3,4
"B1112 Norske varer uten jordbruks og energivarer";"2017M03";"Konsumprisindeksen. Vekter";105,1
"B1112 Norske varer uten jordbruks og energivarer";"2017M04";"Konsumprisindeksen (2015=100)";103
"B1112 Norske varer uten jordbruks og energivarer";"2017M04";"Månedsendring (prosent)";-1,3
"B1112 Norske varer uten jordbruks og energivarer";"2017M04";"12-måneders endring (prosent)";-0,6
"B1112 Norske varer uten jordbruks og energivarer";"2017M04";"Konsumprisindeksen. Vekter";105,1
"B1112 Norske varer uten jordbruks og energivarer";"2017M05";"Konsumprisindeksen (2015=100)";104,4
"B1112 Norske varer uten jordbruks og energivarer";"2017M05";"Månedsendring (prosent)";1,4
"B1112 Norske varer uten jordbruks og energivarer";"2017M05";"12-måneders endring (prosent)";1,2
"B1112 Norske varer uten jordbruks og energivarer";"2017M05";"Konsumprisindeksen. Vekter";105,1
"B1112 Norske varer uten jordbruks og energivarer";"2017M06";"Konsumprisindeksen (2015=100)";105,3
"B1112 Norske varer uten jordbruks og energivarer";"2017M06";"Månedsendring (prosent)";0,9
"B1112 Norske varer uten jordbruks og energivarer";"2017M06";"12-måneders endring (prosent)";1,3
"B1112 Norske varer uten jordbruks og energivarer";"2017M06";"Konsumprisindeksen. Vekter";105,1
"B1112 Norske varer uten jordbruks og energivarer";"2017M07";"Konsumprisindeksen (2015=100)";107,2
"B1112 Norske varer uten jordbruks og energivarer";"2017M07";"Månedsendring (prosent)";1,8
"B1112 Norske varer uten jordbruks og energivarer";"2017M07";"12-måneders endring (prosent)";0,7
"B1112 Norske varer uten jordbruks og energivarer";"2017M07";"Konsumprisindeksen. Vekter";105,1
"B1112 Norske varer uten jordbruks og energivarer";"2017M08";"Konsumprisindeksen (2015=100)";104,6
"B1112 Norske varer uten jordbruks og energivarer";"2017M08";"Månedsendring (prosent)";-2,4
"B1112 Norske varer uten jordbruks og energivarer";"2017M08";"12-måneders endring (prosent)";-1,3
"B1112 Norske varer uten jordbruks og energivarer";"2017M08";"Konsumprisindeksen. Vekter";105,1
"B1112 Norske varer uten jordbruks og energivarer";"2017M09";"Konsumprisindeksen (2015=100)";103,9
"B1112 Norske varer uten jordbruks og energivarer";"2017M09";"Månedsendring (prosent)";-0,7
"B1112 Norske varer uten jordbruks og energivarer";"2017M09";"12-måneders endring (prosent)";-0,9
"B1112 Norske varer uten jordbruks og energivarer";"2017M09";"Konsumprisindeksen. Vekter";105,1
"B1112 Norske varer uten jordbruks og energivarer";"2017M10";"Konsumprisindeksen (2015=100)";104,6
"B1112 Norske varer uten jordbruks og energivarer";"2017M10";"Månedsendring (prosent)";0,7
"B1112 Norske varer uten jordbruks og energivarer";"2017M10";"12-måneders endring (prosent)";-0,6
"B1112 Norske varer uten jordbruks og energivarer";"2017M10";"Konsumprisindeksen. Vekter";105,1
"B1112 Norske varer uten jordbruks og energivarer";"2017M11";"Konsumprisindeksen (2015=100)";103,9
"B1112 Norske varer uten jordbruks og energivarer";"2017M11";"Månedsendring (prosent)";-0,7
"B1112 Norske varer uten jordbruks og energivarer";"2017M11";"12-måneders endring (prosent)";-1,2
"B1112 Norske varer uten jordbruks og energivarer";"2017M11";"Konsumprisindeksen. Vekter";105,1
"B1112 Norske varer uten jordbruks og energivarer";"2017M12";"Konsumprisindeksen (2015=100)";102,9
"B1112 Norske varer uten jordbruks og energivarer";"2017M12";"Månedsendring (prosent)";-1
"B1112 Norske varer uten jordbruks og energivarer";"2017M12";"12-måneders endring (prosent)";0
"B1112 Norske varer uten jordbruks og energivarer";"2017M12";"Konsumprisindeksen. Vekter";105,1
"B1112 Norske varer uten jordbruks og energivarer";"2018M01";"Konsumprisindeksen (2015=100)";105,4
"B1112 Norske varer uten jordbruks og energivarer";"2018M01";"Månedsendring (prosent)";2,4
"B1112 Norske varer uten jordbruks og energivarer";"2018M01";"12-måneders endring (prosent)";1,7
"B1112 Norske varer uten jordbruks og energivarer";"2018M01";"Konsumprisindeksen. Vekter";100,8
"B1112 Norske varer uten jordbruks og energivarer";"2018M02";"Konsumprisindeksen (2015=100)";106,9
"B1112 Norske varer uten jordbruks og energivarer";"2018M02";"Månedsendring (prosent)";1,4
"B1112 Norske varer uten jordbruks og energivarer";"2018M02";"12-måneders endring (prosent)";2,1
"B1112 Norske varer uten jordbruks og energivarer";"2018M02";"Konsumprisindeksen. Vekter";100,8
"B1112 Norske varer uten jordbruks og energivarer";"2018M03";"Konsumprisindeksen (2015=100)";105,6
"B1112 Norske varer uten jordbruks og energivarer";"2018M03";"Månedsendring (prosent)";-1,2
"B1112 Norske varer uten jordbruks og energivarer";"2018M03";"12-måneders endring (prosent)";1,1
"B1112 Norske varer uten jordbruks og energivarer";"2018M03";"Konsumprisindeksen. Vekter";100,8
"B1112 Norske varer uten jordbruks og energivarer";"2018M04";"Konsumprisindeksen (2015=100)";105,7
"B1112 Norske varer uten jordbruks og energivarer";"2018M04";"Månedsendring (prosent)";0,1
"B1112 Norske varer uten jordbruks og energivarer";"2018M04";"12-måneders endring (prosent)";2,6
"B1112 Norske varer uten jordbruks og energivarer";"2018M04";"Konsumprisindeksen. Vekter";100,8
"B1112 Norske varer uten jordbruks og energivarer";"2018M05";"Konsumprisindeksen (2015=100)";105,4
"B1112 Norske varer uten jordbruks og energivarer";"2018M05";"Månedsendring (prosent)";-0,3
"B1112 Norske varer uten jordbruks og energivarer";"2018M05";"12-måneders endring (prosent)";1
"B1112 Norske varer uten jordbruks og energivarer";"2018M05";"Konsumprisindeksen. Vekter";100,8
"B1112 Norske varer uten jordbruks og energivarer";"2018M06";"Konsumprisindeksen (2015=100)";106,1
"B1112 Norske varer uten jordbruks og energivarer";"2018M06";"Månedsendring (prosent)";0,7
"B1112 Norske varer uten jordbruks og energivarer";"2018M06";"12-måneders endring (prosent)";0,8
"B1112 Norske varer uten jordbruks og energivarer";"2018M06";"Konsumprisindeksen. Vekter";100,8
"B1112 Norske varer uten jordbruks og energivarer";"2018M07";"Konsumprisindeksen (2015=100)";109,2
"B1112 Norske varer uten jordbruks og energivarer";"2018M07";"Månedsendring (prosent)";2,9
"B1112 Norske varer uten jordbruks og energivarer";"2018M07";"12-måneders endring (prosent)";1,9
"B1112 Norske varer uten jordbruks og energivarer";"2018M07";"Konsumprisindeksen. Vekter";100,8
"B1112 Norske varer uten jordbruks og energivarer";"2018M08";"Konsumprisindeksen (2015=100)";107,9
"B1112 Norske varer uten jordbruks og energivarer";"2018M08";"Månedsendring (prosent)";-1,2
"B1112 Norske varer uten jordbruks og energivarer";"2018M08";"12-måneders endring (prosent)";3,2
"B1112 Norske varer uten jordbruks og energivarer";"2018M08";"Konsumprisindeksen. Vekter";100,8
"B1112 Norske varer uten jordbruks og energivarer";"2018M09";"Konsumprisindeksen (2015=100)";107,7
"B1112 Norske varer uten jordbruks og energivarer";"2018M09";"Månedsendring (prosent)";-0,2
"B1112 Norske varer uten jordbruks og energivarer";"2018M09";"12-måneders endring (prosent)";3,7
"B1112 Norske varer uten jordbruks og energivarer";"2018M09";"Konsumprisindeksen. Vekter";100,8
"B1112 Norske varer uten jordbruks og energivarer";"2018M10";"Konsumprisindeksen (2015=100)";107,2
"B1112 Norske varer uten jordbruks og energivarer";"2018M10";"Månedsendring (prosent)";-0,5
"B1112 Norske varer uten jordbruks og energivarer";"2018M10";"12-måneders endring (prosent)";2,5
"B1112 Norske varer uten jordbruks og energivarer";"2018M10";"Konsumprisindeksen. Vekter";100,8
"B1112 Norske varer uten jordbruks og energivarer";"2018M11";"Konsumprisindeksen (2015=100)";108,2
"B1112 Norske varer uten jordbruks og energivarer";"2018M11";"Månedsendring (prosent)";0,9
"B1112 Norske varer uten jordbruks og energivarer";"2018M11";"12-måneders endring (prosent)";4,1
"B1112 Norske varer uten jordbruks og energivarer";"2018M11";"Konsumprisindeksen. Vekter";100,8
"B1112 Norske varer uten jordbruks og energivarer";"2018M12";"Konsumprisindeksen (2015=100)";106,6
"B1112 Norske varer uten jordbruks og energivarer";"2018M12";"Månedsendring (prosent)";-1,5
"B1112 Norske varer uten jordbruks og energivarer";"2018M12";"12-måneders endring (prosent)";3,6
"B1112 Norske varer uten jordbruks og energivarer";"2018M12";"Konsumprisindeksen. Vekter";100,8
"B1112 Norske varer uten jordbruks og energivarer";"2019M01";"Konsumprisindeksen (2015=100)";106,7
"B1112 Norske varer uten jordbruks og energivarer";"2019M01";"Månedsendring (prosent)";0,1
"B1112 Norske varer uten jordbruks og energivarer";"2019M01";"12-måneders endring (prosent)";1,2
"B1112 Norske varer uten jordbruks og energivarer";"2019M01";"Konsumprisindeksen. Vekter";99,7
"B1112 Norske varer uten jordbruks og energivarer";"2019M02";"Konsumprisindeksen (2015=100)";109,5
"B1112 Norske varer uten jordbruks og energivarer";"2019M02";"Månedsendring (prosent)";2,6
"B1112 Norske varer uten jordbruks og energivarer";"2019M02";"12-måneders endring (prosent)";2,4
"B1112 Norske varer uten jordbruks og energivarer";"2019M02";"Konsumprisindeksen. Vekter";99,7
"B1112 Norske varer uten jordbruks og energivarer";"2019M03";"Konsumprisindeksen (2015=100)";108,9
"B1112 Norske varer uten jordbruks og energivarer";"2019M03";"Månedsendring (prosent)";-0,5
"B1112 Norske varer uten jordbruks og energivarer";"2019M03";"12-måneders endring (prosent)";3,1
"B1112 Norske varer uten jordbruks og energivarer";"2019M03";"Konsumprisindeksen. Vekter";99,7
"B1112 Norske varer uten jordbruks og energivarer";"2019M04";"Konsumprisindeksen (2015=100)";108,3
"B1112 Norske varer uten jordbruks og energivarer";"2019M04";"Månedsendring (prosent)";-0,6
"B1112 Norske varer uten jordbruks og energivarer";"2019M04";"12-måneders endring (prosent)";2,5
"B1112 Norske varer uten jordbruks og energivarer";"2019M04";"Konsumprisindeksen. Vekter";99,7
"B1112 Norske varer uten jordbruks og energivarer";"2019M05";"Konsumprisindeksen (2015=100)";107,2
"B1112 Norske varer uten jordbruks og energivarer";"2019M05";"Månedsendring (prosent)";-1
"B1112 Norske varer uten jordbruks og energivarer";"2019M05";"12-måneders endring (prosent)";1,7
"B1112 Norske varer uten jordbruks og energivarer";"2019M05";"Konsumprisindeksen. Vekter";99,7
"B1112 Norske varer uten jordbruks og energivarer";"2019M06";"Konsumprisindeksen (2015=100)";107,5
"B1112 Norske varer uten jordbruks og energivarer";"2019M06";"Månedsendring (prosent)";0,3
"B1112 Norske varer uten jordbruks og energivarer";"2019M06";"12-måneders endring (prosent)";1,3
"B1112 Norske varer uten jordbruks og energivarer";"2019M06";"Konsumprisindeksen. Vekter";99,7
"B1112 Norske varer uten jordbruks og energivarer";"2019M07";"Konsumprisindeksen (2015=100)";110,6
"B1112 Norske varer uten jordbruks og energivarer";"2019M07";"Månedsendring (prosent)";2,9
"B1112 Norske varer uten jordbruks og energivarer";"2019M07";"12-måneders endring (prosent)";1,3
"B1112 Norske varer uten jordbruks og energivarer";"2019M07";"Konsumprisindeksen. Vekter";99,7
"B1112 Norske varer uten jordbruks og energivarer";"2019M08";"Konsumprisindeksen (2015=100)";108,6
"B1112 Norske varer uten jordbruks og energivarer";"2019M08";"Månedsendring (prosent)";-1,8
"B1112 Norske varer uten jordbruks og energivarer";"2019M08";"12-måneders endring (prosent)";0,6
"B1112 Norske varer uten jordbruks og energivarer";"2019M08";"Konsumprisindeksen. Vekter";99,7
"B1112 Norske varer uten jordbruks og energivarer";"2019M09";"Konsumprisindeksen (2015=100)";108,2
"B1112 Norske varer uten jordbruks og energivarer";"2019M09";"Månedsendring (prosent)";-0,4
"B1112 Norske varer uten jordbruks og energivarer";"2019M09";"12-måneders endring (prosent)";0,5
"B1112 Norske varer uten jordbruks og energivarer";"2019M09";"Konsumprisindeksen. Vekter";99,7
"B1112 Norske varer uten jordbruks og energivarer";"2019M10";"Konsumprisindeksen (2015=100)";107,4
"B1112 Norske varer uten jordbruks og energivarer";"2019M10";"Månedsendring (prosent)";-0,7
"B1112 Norske varer uten jordbruks og energivarer";"2019M10";"12-måneders endring (prosent)";0,2
"B1112 Norske varer uten jordbruks og energivarer";"2019M10";"Konsumprisindeksen. Vekter";99,7
"B1112 Norske varer uten jordbruks og energivarer";"2019M11";"Konsumprisindeksen (2015=100)";107,9
"B1112 Norske varer uten jordbruks og energivarer";"2019M11";"Månedsendring (prosent)";0,5
"B1112 Norske varer uten jordbruks og energivarer";"2019M11";"12-måneders endring (prosent)";-0,3
"B1112 Norske varer uten jordbruks og energivarer";"2019M11";"Konsumprisindeksen. Vekter";99,7
"B1112 Norske varer uten jordbruks og energivarer";"2019M12";"Konsumprisindeksen (2015=100)";106,5
"B1112 Norske varer uten jordbruks og energivarer";"2019M12";"Månedsendring (prosent)";-1,3
"B1112 Norske varer uten jordbruks og energivarer";"2019M12";"12-måneders endring (prosent)";-0,1
"B1112 Norske varer uten jordbruks og energivarer";"2019M12";"Konsumprisindeksen. Vekter";99,7
"B1112 Norske varer uten jordbruks og energivarer";"2020M01";"Konsumprisindeksen (2015=100)";109
"B1112 Norske varer uten jordbruks og energivarer";"2020M01";"Månedsendring (prosent)";2,3
"B1112 Norske varer uten jordbruks og energivarer";"2020M01";"12-måneders endring (prosent)";2,2
"B1112 Norske varer uten jordbruks og energivarer";"2020M01";"Konsumprisindeksen. Vekter";96,9
"B1112 Norske varer uten jordbruks og energivarer";"2020M02";"Konsumprisindeksen (2015=100)";111,4
"B1112 Norske varer uten jordbruks og energivarer";"2020M02";"Månedsendring (prosent)";2,2
"B1112 Norske varer uten jordbruks og energivarer";"2020M02";"12-måneders endring (prosent)";1,7
"B1112 Norske varer uten jordbruks og energivarer";"2020M02";"Konsumprisindeksen. Vekter";96,9
"B1112 Norske varer uten jordbruks og energivarer";"2020M03";"Konsumprisindeksen (2015=100)";110,8
"B1112 Norske varer uten jordbruks og energivarer";"2020M03";"Månedsendring (prosent)";-0,5
"B1112 Norske varer uten jordbruks og energivarer";"2020M03";"12-måneders endring (prosent)";1,7
"B1112 Norske varer uten jordbruks og energivarer";"2020M03";"Konsumprisindeksen. Vekter";96,9
"B1112 Norske varer uten jordbruks og energivarer";"2020M04";"Konsumprisindeksen (2015=100)";111
"B1112 Norske varer uten jordbruks og energivarer";"2020M04";"Månedsendring (prosent)";0,2
"B1112 Norske varer uten jordbruks og energivarer";"2020M04";"12-måneders endring (prosent)";2,5
"B1112 Norske varer uten jordbruks og energivarer";"2020M04";"Konsumprisindeksen. Vekter";96,9
"B1112 Norske varer uten jordbruks og energivarer";"2020M05";"Konsumprisindeksen (2015=100)";110,6
"B1112 Norske varer uten jordbruks og energivarer";"2020M05";"Månedsendring (prosent)";-0,4
"B1112 Norske varer uten jordbruks og energivarer";"2020M05";"12-måneders endring (prosent)";3,2
"B1112 Norske varer uten jordbruks og energivarer";"2020M05";"Konsumprisindeksen. Vekter";96,9
"B1112 Norske varer uten jordbruks og energivarer";"2020M06";"Konsumprisindeksen (2015=100)";110,3
"B1112 Norske varer uten jordbruks og energivarer";"2020M06";"Månedsendring (prosent)";-0,3
"B1112 Norske varer uten jordbruks og energivarer";"2020M06";"12-måneders endring (prosent)";2,6
"B1112 Norske varer uten jordbruks og energivarer";"2020M06";"Konsumprisindeksen. Vekter";96,9
"B1112 Norske varer uten jordbruks og energivarer";"2020M07";"Konsumprisindeksen (2015=100)";113
"B1112 Norske varer uten jordbruks og energivarer";"2020M07";"Månedsendring (prosent)";2,4
"B1112 Norske varer uten jordbruks og energivarer";"2020M07";"12-måneders endring (prosent)";2,2
"B1112 Norske varer uten jordbruks og energivarer";"2020M07";"Konsumprisindeksen. Vekter";96,9
"B1112 Norske varer uten jordbruks og energivarer";"2020M08";"Konsumprisindeksen (2015=100)";112
"B1112 Norske varer uten jordbruks og energivarer";"2020M08";"Månedsendring (prosent)";-0,9
"B1112 Norske varer uten jordbruks og energivarer";"2020M08";"12-måneders endring (prosent)";3,1
"B1112 Norske varer uten jordbruks og energivarer";"2020M08";"Konsumprisindeksen. Vekter";96,9
"B1112 Norske varer uten jordbruks og energivarer";"2020M09";"Konsumprisindeksen (2015=100)";112,2
"B1112 Norske varer uten jordbruks og energivarer";"2020M09";"Månedsendring (prosent)";0,2
"B1112 Norske varer uten jordbruks og energivarer";"2020M09";"12-måneders endring (prosent)";3,7
"B1112 Norske varer uten jordbruks og energivarer";"2020M09";"Konsumprisindeksen. Vekter";96,9
"B1112 Norske varer uten jordbruks og energivarer";"2020M10";"Konsumprisindeksen (2015=100)";112
"B1112 Norske varer uten jordbruks og energivarer";"2020M10";"Månedsendring (prosent)";-0,2
"B1112 Norske varer uten jordbruks og energivarer";"2020M10";"12-måneders endring (prosent)";4,3
"B1112 Norske varer uten jordbruks og energivarer";"2020M10";"Konsumprisindeksen. Vekter";96,9
"B1112 Norske varer uten jordbruks og energivarer";"2020M11";"Konsumprisindeksen (2015=100)";112
"B1112 Norske varer uten jordbruks og energivarer";"2020M11";"Månedsendring (prosent)";0
"B1112 Norske varer uten jordbruks og energivarer";"2020M11";"12-måneders endring (prosent)";3,8
"B1112 Norske varer uten jordbruks og energivarer";"2020M11";"Konsumprisindeksen. Vekter";96,9
"B1112 Norske varer uten jordbruks og energivarer";"2020M12";"Konsumprisindeksen (2015=100)";109,7
"B1112 Norske varer uten jordbruks og energivarer";"2020M12";"Månedsendring (prosent)";-2,1
"B1112 Norske varer uten jordbruks og energivarer";"2020M12";"12-måneders endring (prosent)";3
"B1112 Norske varer uten jordbruks og energivarer";"2020M12";"Konsumprisindeksen. Vekter";96,9
"B1112 Norske varer uten jordbruks og energivarer";"2021M01";"Konsumprisindeksen (2015=100)";110,2
"B1112 Norske varer uten jordbruks og energivarer";"2021M01";"Månedsendring (prosent)";0,5
"B1112 Norske varer uten jordbruks og energivarer";"2021M01";"12-måneders endring (prosent)";1,1
"B1112 Norske varer uten jordbruks og energivarer";"2021M01";"Konsumprisindeksen. Vekter";105,4
"B1112 Norske varer uten jordbruks og energivarer";"2021M02";"Konsumprisindeksen (2015=100)";111,1
"B1112 Norske varer uten jordbruks og energivarer";"2021M02";"Månedsendring (prosent)";0,8
"B1112 Norske varer uten jordbruks og energivarer";"2021M02";"12-måneders endring (prosent)";-0,3
"B1112 Norske varer uten jordbruks og energivarer";"2021M02";"Konsumprisindeksen. Vekter";105,4
"B1112 Norske varer uten jordbruks og energivarer";"2021M03";"Konsumprisindeksen (2015=100)";110,7
"B1112 Norske varer uten jordbruks og energivarer";"2021M03";"Månedsendring (prosent)";-0,4
"B1112 Norske varer uten jordbruks og energivarer";"2021M03";"12-måneders endring (prosent)";-0,1
"B1112 Norske varer uten jordbruks og energivarer";"2021M03";"Konsumprisindeksen. Vekter";105,4
