"Leveringssektor";"måned";"statistikkvariabel";"11117: Konsumprisindeks for varer og tjenester, etter Leveringssektor, måned og statistikkvariabel"
"B1 Varer";"2016M09";"12-måneders endring (prosent)";4,2
"B1 Varer";"2016M09";"Konsumprisindeksen. Vekter";499
"B1 Varer";"2016M10";"Konsumprisindeksen (2015=100)";105,6
"B1 Varer";"2016M10";"Månedsendring (prosent)";0,8
"B1 Varer";"2016M10";"12-måneders endring (prosent)";4,5
"B1 Varer";"2016M10";"Konsumprisindeksen. Vekter";499
"B1 Varer";"2016M11";"Konsumprisindeksen (2015=100)";106,2
"B1 Varer";"2016M11";"Månedsendring (prosent)";0,6
"B1 Varer";"2016M11";"12-måneders endring (prosent)";4,1
"B1 Varer";"2016M11";"Konsumprisindeksen. Vekter";499
"B1 Varer";"2016M12";"Konsumprisindeksen (2015=100)";105,2
"B1 Varer";"2016M12";"Månedsendring (prosent)";-0,9
"B1 Varer";"2016M12";"12-måneders endring (prosent)";4,1
"B1 Varer";"2016M12";"Konsumprisindeksen. Vekter";499
"B1 Varer";"2017M01";"Konsumprisindeksen (2015=100)";104,3
"B1 Varer";"2017M01";"Månedsendring (prosent)";-0,9
"B1 Varer";"2017M01";"12-måneders endring (prosent)";2,6
"B1 Varer";"2017M01";"Konsumprisindeksen. Vekter";496,4
"B1 Varer";"2017M02";"Konsumprisindeksen (2015=100)";105,2
"B1 Varer";"2017M02";"Månedsendring (prosent)";0,9
"B1 Varer";"2017M02";"12-måneders endring (prosent)";2,8
"B1 Varer";"2017M02";"Konsumprisindeksen. Vekter";496,4
"B1 Varer";"2017M03";"Konsumprisindeksen (2015=100)";105,6
"B1 Varer";"2017M03";"Månedsendring (prosent)";0,4
"B1 Varer";"2017M03";"12-måneders endring (prosent)";3
"B1 Varer";"2017M03";"Konsumprisindeksen. Vekter";496,4
"B1 Varer";"2017M04";"Konsumprisindeksen (2015=100)";105,1
"B1 Varer";"2017M04";"Månedsendring (prosent)";-0,5
"B1 Varer";"2017M04";"12-måneders endring (prosent)";1,4
"B1 Varer";"2017M04";"Konsumprisindeksen. Vekter";496,4
"B1 Varer";"2017M05";"Konsumprisindeksen (2015=100)";105,9
"B1 Varer";"2017M05";"Månedsendring (prosent)";0,8
"B1 Varer";"2017M05";"12-måneders endring (prosent)";2,1
"B1 Varer";"2017M05";"Konsumprisindeksen. Vekter";496,4
"B1 Varer";"2017M06";"Konsumprisindeksen (2015=100)";105,8
"B1 Varer";"2017M06";"Månedsendring (prosent)";-0,1
"B1 Varer";"2017M06";"12-måneders endring (prosent)";1,3
"B1 Varer";"2017M06";"Konsumprisindeksen. Vekter";496,4
"B1 Varer";"2017M07";"Konsumprisindeksen (2015=100)";105,8
"B1 Varer";"2017M07";"Månedsendring (prosent)";0
"B1 Varer";"2017M07";"12-måneders endring (prosent)";0,7
"B1 Varer";"2017M07";"Konsumprisindeksen. Vekter";496,4
"B1 Varer";"2017M08";"Konsumprisindeksen (2015=100)";104,8
"B1 Varer";"2017M08";"Månedsendring (prosent)";-0,9
"B1 Varer";"2017M08";"12-måneders endring (prosent)";0,3
"B1 Varer";"2017M08";"Konsumprisindeksen. Vekter";496,4
"B1 Varer";"2017M09";"Konsumprisindeksen (2015=100)";106
"B1 Varer";"2017M09";"Månedsendring (prosent)";1,1
"B1 Varer";"2017M09";"12-måneders endring (prosent)";1,1
"B1 Varer";"2017M09";"Konsumprisindeksen. Vekter";496,4
"B1 Varer";"2017M10";"Konsumprisindeksen (2015=100)";105,7
"B1 Varer";"2017M10";"Månedsendring (prosent)";-0,3
"B1 Varer";"2017M10";"12-måneders endring (prosent)";0,1
"B1 Varer";"2017M10";"Konsumprisindeksen. Vekter";496,4
"B1 Varer";"2017M11";"Konsumprisindeksen (2015=100)";106,6
"B1 Varer";"2017M11";"Månedsendring (prosent)";0,9
"B1 Varer";"2017M11";"12-måneders endring (prosent)";0,4
"B1 Varer";"2017M11";"Konsumprisindeksen. Vekter";496,4
"B1 Varer";"2017M12";"Konsumprisindeksen (2015=100)";106,1
"B1 Varer";"2017M12";"Månedsendring (prosent)";-0,5
"B1 Varer";"2017M12";"12-måneders endring (prosent)";0,9
"B1 Varer";"2017M12";"Konsumprisindeksen. Vekter";496,4
"B1 Varer";"2018M01";"Konsumprisindeksen (2015=100)";105,5
"B1 Varer";"2018M01";"Månedsendring (prosent)";-0,6
"B1 Varer";"2018M01";"12-måneders endring (prosent)";1,2
"B1 Varer";"2018M01";"Konsumprisindeksen. Vekter";481,3
"B1 Varer";"2018M02";"Konsumprisindeksen (2015=100)";107
"B1 Varer";"2018M02";"Månedsendring (prosent)";1,4
"B1 Varer";"2018M02";"12-måneders endring (prosent)";1,7
"B1 Varer";"2018M02";"Konsumprisindeksen. Vekter";481,3
"B1 Varer";"2018M03";"Konsumprisindeksen (2015=100)";107,5
"B1 Varer";"2018M03";"Månedsendring (prosent)";0,5
"B1 Varer";"2018M03";"12-måneders endring (prosent)";1,8
"B1 Varer";"2018M03";"Konsumprisindeksen. Vekter";481,3
"B1 Varer";"2018M04";"Konsumprisindeksen (2015=100)";107,9
"B1 Varer";"2018M04";"Månedsendring (prosent)";0,4
"B1 Varer";"2018M04";"12-måneders endring (prosent)";2,7
"B1 Varer";"2018M04";"Konsumprisindeksen. Vekter";481,3
"B1 Varer";"2018M05";"Konsumprisindeksen (2015=100)";108
"B1 Varer";"2018M05";"Månedsendring (prosent)";0,1
"B1 Varer";"2018M05";"12-måneders endring (prosent)";2
"B1 Varer";"2018M05";"Konsumprisindeksen. Vekter";481,3
"B1 Varer";"2018M06";"Konsumprisindeksen (2015=100)";108,6
"B1 Varer";"2018M06";"Månedsendring (prosent)";0,6
"B1 Varer";"2018M06";"12-måneders endring (prosent)";2,6
"B1 Varer";"2018M06";"Konsumprisindeksen. Vekter";481,3
"B1 Varer";"2018M07";"Konsumprisindeksen (2015=100)";109,8
"B1 Varer";"2018M07";"Månedsendring (prosent)";1,1
"B1 Varer";"2018M07";"12-måneders endring (prosent)";3,8
"B1 Varer";"2018M07";"Konsumprisindeksen. Vekter";481,3
"B1 Varer";"2018M08";"Konsumprisindeksen (2015=100)";109,5
"B1 Varer";"2018M08";"Månedsendring (prosent)";-0,3
"B1 Varer";"2018M08";"12-måneders endring (prosent)";4,5
"B1 Varer";"2018M08";"Konsumprisindeksen. Vekter";481,3
"B1 Varer";"2018M09";"Konsumprisindeksen (2015=100)";110,3
"B1 Varer";"2018M09";"Månedsendring (prosent)";0,7
"B1 Varer";"2018M09";"12-måneders endring (prosent)";4,1
